"SYMBOL","NAME","SHORT_NAME","HELPER","BEST_TREND_SEARCH","WIKI_LINKS"
"AMD","Advanced Micro Devices Inc","Advanced Micro Devices","AMD Stock","AMD Stock","Advanced_Micro_Devices"
"ADBE","Adobe Inc.","Adobe","ADBE Stock","Adobe","Adobe_Inc."
"ALGN","Align Technology Inc","Align Technology","ALGN Stock","Align Technology","Align_Technology"
"AMZN","Amazon.com Inc","Amazon","AMZN Stock","Amazon","Amazon_(company)"
"AMGN","Amgen Inc","Amgen","AMGN Stock","Amgen","Amgen"
"AEP","American Electric Power Company Inc","American Electric Power Company","AEP Stock","AEP Stock","American_Electric_Power"
"ADI","Analog Devices Inc","Analog Devices","ADI Stock","Analog Devices","Analog_Devices"
"ANSS","ANSYS Inc","ANSYS","ANSS Stock","ANSYS","Ansys"
"AAPL","Apple Inc","Apple","AAPL Stock","Apple","Apple_Inc."
"AMAT","Applied Materials Inc","Applied Materials","AMAT Stock","Applied Materials","Applied_Materials"
"ASML","ASML Holding NV","ASML Holding NV","ASML Stock","ASML Stock","ASML_Holding"
"TEAM","Atlassian Corporation PLC","Atlassian Corporation","TEAM Stock","TEAM Stock","Atlassian"
"ADSK","Autodesk Inc","Autodesk","ADSK Stock","Autodesk","Autodesk"
"ATVI","Activision Blizzard Inc","Activision Blizzard","ATVI Stock","Activision Blizzard","Activision_Blizzard"
"ADP","Automatic Data Processing Inc","Automatic Data Processing","ADP Stock","ADP Stock","Automatic_Data_Processing"
"AVGO","Broadcom Inc","Broadcom","AVGO Stock","Broadcom","Broadcom_Inc."
"BIDU","Baidu Inc","Baidu","BIDU Stock","Baidu","Baidu"
"BIIB","Biogen Inc","Biogen","BIIB Stock","Biogen","Biogen"
"BMRN","Biomarin Pharmaceutical Inc","Biomarin Pharmaceutical","BMRN Stock","BMRN","BioMarin_Pharmaceutical"
"BKNG","Booking Holdings Inc","Booking Holdings","BKNG Stock","Booking Holdings","Booking_Holdings"
"CDNS","Cadence Design Systems Inc","Cadence Design Systems","CDNS Stock","CDNS Stock","Cadence_Design_Systems"
"CDW","CDW Corp","CDW Corp","CDW Stock","CDW","CDW"
"CERN","Cerner Corp","Cerner","CERN Stock","Cerner","Cerner"
"CHKP","Check Point Software Technologies Ltd","Check Point Software Technologies","CHKP Stock","CHKP","Check_Point"
"CHTR","Charter Communications Inc","Charter Communications","CHTR Stock","Charter Communications","Charter_Communications"
"CPRT","Copart Inc","Copart","CPRT Stock","Copart","Copart"
"CRWD","CrowdStrike Holdings Inc","CrowdStrike Holdings","CRWD Stock","CRWD Stock","CrowdStrike"
"CTAS","Cintas Corp","Cintas","CTAS Stock","Cintas","Cintas"
"CSCO","Cisco Systems Inc","Cisco Systems","CSCO Stock","Cisco Systems","Cisco_Systems"
"CMCSA","Comcast Corp","Comcast","CMCSA Stock","Comcast","Comcast"
"COST","Costco Wholesale Corp","Costco Wholesale","COST Stock","COST Stock","Costco"
"CSX","CSX Corp","CSX Corp","CSX Stock","CSX Stock","CSX_Corporation"
"CTSH","Cognizant Technology Solutions Corp","Cognizant Technology Solutions","CTSH Stock","Cognizant Technology Solutions","Cognizant"
"DOCU","DocuSign Inc","DocuSign","DOCU Stock","DocuSign","DocuSign"
"DXCM","Dexcom Inc","Dexcom","DXCM Stock","Dexcom","DexCom"
"DLTR","Dollar Tree Inc","Dollar Tree","DLTR Stock","Dollar Tree","Dollar_Tree"
"EA","Electronic Arts","Electronic Arts","EA Stock","Electronic Arts","Electronic_Arts"
"EBAY","eBay Inc","eBay","EBAY Stock","eBay","EBay"
"EXC","Exelon Corp","Exelon","EXC Stock","Exelon","Exelon"
"FAST","Fastenal Co","Fastenal","FAST Stock","Fastenal","Fastenal"
"FB","Meta Platforms Inc","Meta Platforms","FB Stock","Facebook","Facebook"
"FISV","Fiserv Inc","Fiserv","FISV Stock","Fiserv","Fiserv"
"FOX","Fox Corp. Class B","Fox","FOX Stock","Fox","21st_Century_Fox"
"FOXA","Fox Corp. Class A","Fox","FOXA Stock","Fox","21st_Century_Fox"
"GILD","Gilead Sciences Inc","Gilead Sciences","GILD Stock","Gilead Sciences","Gilead_Sciences"
"GOOG","Alphabet Class C","Alphabet","GOOG Stock","Alphabet","Google"
"GOOGL","Alphabet Class A","Alphabet","GOOGL Stock","Alphabet","Google"
"HON","Honeywell International Inc","Honeywell International","HON Stock","HON Stock","Honeywell"
"ILMN","Illumina Inc","Illumina","ILMN Stock","Illumina","Illumina,_Inc."
"INCY","Incyte Corp","Incyte","INCY Stock","Incyte","Incyte"
"INTC","Intel Corp","Intel","INTC Stock","Intel","Intel"
"INTU","Intuit Inc","Intuit","INTU Stock","Intuit","Intuit"
"ISRG","Intuitive Surgical Inc","Intuitive Surgical","ISRG Stock","Intuitive Surgical","Intuitive_Surgical"
"MRVL","Marvell Technology Inc","Marvell Technology","MRVL Stock","MRVL Stock","Marvell_Technology,_Inc."
"IDXX","IDEXX Laboratories Inc","IDEXX Laboratories","IDXX Stock","IDEXX Laboratories","Idexx_Laboratories"
"JD","JD.Com Inc","JD.Com","JD Stock","JD.Com","JD.com"
"KDP","Keurig Dr Pepper Inc","Keurig Dr Pepper","KDP Stock","Keurig Dr Pepper","Keurig_Dr_Pepper"
"KLAC","KLA Corp","KLA","KLAC Stock","KLA","KLA_Corporation"
"KHC","Kraft Heinz Co","Kraft Heinz","KHC Stock","Kraft Heinz","Kraft_Heinz"
"LRCX","Lam Research Corp","Lam Research","LRCX Stock","Lam Research","Lam_Research"
"LULU","Lululemon Athletica Inc","Lululemon Athletica","LULU Stock","LULU Stock","Lululemon"
"MELI","Mercadolibre Inc","Mercadolibre","MELI Stock","Mercadolibre","MercadoLibre"
"MAR","Marriott International Inc","Marriott International","MAR Stock","Marriott International","Marriott_International"
"MTCH","Match Group Inc","Match Group","MTCH Stock","Match Group","Match_Group"
"MCHP","Microchip Technology Inc","Microchip Technology","MCHP Stock","MCHP Stock","Microchip_Technology"
"MDLZ","Mondelez International Inc","Mondelez International","MDLZ Stock","Mondelez International","Mondelez_International"
"MRNA","Moderna Inc","Moderna","MRNA Stock","Moderna","Moderna"
"MNST","Monster Beverage Corp","Monster Beverage","MNST Stock","MNST Stock","Monster_Beverage"
"MSFT","Microsoft Corp","Microsoft","MSFT Stock","Microsoft","Microsoft"
"MU","Micron Technology Inc","Micron Technology","MU Stock","MU Stock","Micron_Technology"
"NFLX","Netflix Inc","Netflix","NFLX Stock","Netflix","Netflix"
"NTES","NetEase Inc","NetEase","NTES Stock","NetEase","NetEase"
"NVDA","NVIDIA Corp","NVIDIA","NVDA Stock","NVIDIA","Nvidia"
"NXPI","NXP Semiconductors NV","NXP Semiconductors NV","NXPI Stock","NXPI Stock","NXP"
"OKTA","Okta Inc","Okta","OKTA Stock","Okta","Okta_(company)"
"ORLY","O’Reilly Automotive Inc","O’Reilly Automotive","ORLY Stock","ORLY Stock","O'Reilly_Auto_Parts"
"PAYX","Paychex Inc","Paychex","PAYX Stock","Paychex","Paychex"
"PCAR","Paccar Inc","Paccar","PCAR Stock","Paccar","Paccar"
"PDD","Pinduoduo Inc","Pinduoduo","PDD Stock","PDD Stock","Pinduoduo"
"PTON","Peloton Interactive Inc","Peloton Interactive","PTON Stock","PTON Stock","Peloton_Interactive"
"PYPL","PayPal Holdings Inc","PayPal Holdings","PYPL Stock","PYPL Stock","PayPal"
"PEP","PepsiCo Inc.","PepsiCo","PEP Stock","PepsiCo","PepsiCo"
"QCOM","Qualcomm Inc","Qualcomm","QCOM Stock","Qualcomm","Qualcomm"
"REGN","Regeneron Pharmaceuticals Inc","Regeneron Pharmaceuticals","REGN Stock","REGN Stock","Regeneron"
"ROST","Ross Stores Inc","Ross Stores","ROST Stock","Ross Stores","Ross_Stores"
"SIRI","Sirius XM Holdings Inc","Sirius XM Holdings","SIRI Stock","SIRI Stock","Sirius_XM"
"SGEN","Seagen Inc","Seagen","SGEN Stock","SGEN Stock","Seagen"
"SPLK","Splunk Inc","Splunk","SPLK Stock","Splunk","Splunk"
"SWKS","Skyworks Solutions Inc","Skyworks Solutions","SWKS Stock","Skyworks Solutions","Skyworks_Solutions"
"SBUX","Starbucks Corp","Starbucks","SBUX Stock","Starbucks","Starbucks"
"SNPS","Synopsys Inc","Synopsys","SNPS Stock","SNPS Stock","Synopsys"
"TCOM","Trip.com Group Ltd","Trip Group","TCOM Stock","Trip Group","Trip.com_Group"
"TSLA","Tesla Inc","Tesla","TSLA Stock","Tesla","Tesla,_Inc."
"TXN","Texas Instruments Inc","Texas Instruments","TXN Stock","Texas Instruments","Texas_Instruments"
"TMUS","T-Mobile US Inc","T-Mobile US","TMUS Stock","TMUS Stock","T-Mobile_US"
"VRSN","Verisign Inc","Verisign","VRSN Stock","Verisign","Verisign"
"VRSK","Verisk Analytics Inc","Verisk Analytics","VRSK Stock","Verisk Analytics","Verisk"
"VRTX","Vertex Pharmaceuticals Inc","Vertex Pharmaceuticals","VRTX Stock","Vertex Pharmaceuticals","Vertex_Pharmaceuticals"
"WBA","Walgreens Boots Alliance Inc","Walgreens Boots Alliance","WBA Stock","WBA Stock","Walgreens_Boots_Alliance"
"WDAY","Workday Inc","Workday","WDAY Stock","Workday","Workday,_Inc."
"XEL","Xcel Energy Inc","Xcel Energy","XEL Stock","Xcel Energy","Xcel_Energy"
"XLNX","Xilinx Inc","Xilinx","XLNX Stock","Xilinx","Xilinx"
"ZM","Zoom Video Communications Inc","Zoom Video Communications","ZM Stock","ZM Stock","Zoom_Video_Communications"
